id,name,authors,original_price,price,categories,all_time_quantity_sold,rating_average,review_count,pages,manuafacture
3840809,New Economy Toeic Lc 1000 (Kèm file MP3),Lee Ki Taek,198000,158400,Luyện thi TOEIC,11,5,1,216.00,
392568,Marvellous Techniques For IELTS Writing,Kirk Kenny,268000,201000,Luyện thi IELTS,2178,4.8,169,241.00,Nhà Xuất Bản Tổng hợp TP.HCM
598975,Dạy Con Làm Giàu 10 - Trước Khi Bạn Thôi Việc,Robert T. Kiyosaki – Sharon L. Lechter,110000,67000,Sách tiếng Việt,3588,4.8,203,316.00,NXB Trẻ
42877486,Văn Học Kinh Điển Thế Giới - Peter Pan (Tái Bản),James Matthew Barrie,88000,53000,Sách tiếng Việt,836,5,73,144.00,Nhà Xuất Bản Văn Học
51215567,Đồng Tiền Hạnh Phúc,Ken Honda,95000,59000,Sách tư duy - Kỹ năng sống,4726,5,400,258.00,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân
31515106,Đàn Kiến Chăm Chỉ - Ngụ Ngôn Song Ngữ (Tái Bản 2019), Cloud Pillow,32000,19200,Sách tiếng Việt,554,5,57,,Nhà Xuất Bản Phụ Nữ
187933180,OKR - Phương Pháp Thiết Lập Mục Tiêu Và Quản Lý Công Việc Vượt Trội (Tái Bản 2022),Kazuhiro Okuda,129000,109650,Root,,0,0,216.00,Nhà Xuất Bản Công Thương
190705657,Nuôi Dạy Con Theo Phương Pháp Montessori: Em Bé Sơ Sinh Từ 0-1 Tuổi,Simone Davies,220000,151800,Phương pháp giáo dục Montessori,395,5,17,326.00,Nhà Xuất Bản Phụ Nữ Việt Nam
192048655,Tớ đã từng sợ hãi,Chandra Ghosh Ippen,75000,56300,Đạo đức - Kỹ năng sống,117,4.7,3,64.00,Nhà Xuất Bản Dân Trí
59395854,Lạc Trì (2 Tập),Dư Trình,289000,202000,Root,2599,4.8,1013,832.00,Nhà Xuất Bản Hồng Đức
129765498,Văn Học Kinh Điển - Những Người Phụ Nữ Bé Nhỏ (tặng 2 postcard Tranh Màu + 1 bookmark),Louisa May Alcott,380000,190000,Tác Phẩm Kinh Điển Nước Ngoài,616,4.8,133,700.00,Nhà Xuất Bản Văn Học
181131167,Boxset Nhà Trọ Của Những Điều Đã Mất (3 Cuốn),Hozumi,90000,63000,"Truyện Tranh, Manga, Comic",590,5,168,576.00,Nhà Xuất Bản Kim Đồng
163553056,Thần Chết Làm Thêm 300 Yên/Giờ (Tái Bản),Fujimaru,105000,77600,Light novel,663,4.6,188,384.00,Nhà Xuất Bản Thế Giới
10971007,EQ - Trí Thông Minh Xúc Cảm Trong Công Việc,Justin Bariso,129000,109650,Sách tiếng Việt,1,0,0,336.00,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân
193109496,Chuộc Tội ,David Baldacci,280000,141000,Truyện trinh thám,148,5,26,568.00,Nhà Xuất Bản Văn Học
